time, pos, vel, acc, accMax, decMax, vMax, target, HA
0.000000, 0.000000, 0.000000, 2.137414, 4.000000, -3.000000, 30.000000, 300.000000, ACC
1.000000, 0.010687, 0.213741, 3.827735, 4.000000, -3.000000, 30.000000, 300.000000, ACC
2.000000, 0.051200, 0.596515, 3.916348, 4.000000, -3.000000, 30.000000, 300.000000, ACC
3.000000, 0.130433, 0.988150, 3.829260, 4.000000, -3.000000, 30.000000, 300.000000, ACC
4.000000, 0.248394, 1.371076, 4.013438, 4.000000, -3.000000, 30.000000, 300.000000, ACC
5.000000, 0.405569, 1.772420, 3.996351, 4.000000, -3.000000, 30.000000, 300.000000, ACC
6.000000, 0.602793, 2.172055, 3.877380, 4.000000, -3.000000, 30.000000, 300.000000, ACC
7.000000, 0.839385, 2.559793, 3.799063, 4.000000, -3.000000, 30.000000, 300.000000, ACC
8.000000, 1.114360, 2.939699, 4.164473, 4.000000, -3.000000, 30.000000, 300.000000, ACC
9.000000, 1.429152, 3.356146, 3.834605, 4.000000, -3.000000, 30.000000, 300.000000, ACC
10.000000, 1.783940, 3.739607, 3.944267, 4.000000, -3.000000, 30.000000, 300.000000, ACC
11.000000, 2.177622, 4.134034, 3.866202, 4.000000, -3.000000, 30.000000, 300.000000, ACC
12.000000, 2.610356, 4.520654, 3.976510, 4.000000, -3.000000, 30.000000, 300.000000, ACC
13.000000, 3.082304, 4.918305, 4.008991, 4.000000, -3.000000, 30.000000, 300.000000, ACC
14.000000, 3.594180, 5.319204, 3.847610, 4.000000, -3.000000, 30.000000, 300.000000, ACC
15.000000, 4.145338, 5.703965, 4.089193, 4.000000, -3.000000, 30.000000, 300.000000, ACC
16.000000, 4.736180, 6.112884, 4.151860, 4.000000, -3.000000, 30.000000, 300.000000, ACC
17.000000, 5.368228, 6.528070, 3.997572, 4.000000, -3.000000, 30.000000, 300.000000, ACC
18.000000, 6.041023, 6.927827, 4.017924, 4.000000, -3.000000, 30.000000, 300.000000, ACC
19.000000, 6.753895, 7.329620, 3.840593, 4.000000, -3.000000, 30.000000, 300.000000, ACC
20.000000, 7.506060, 7.713679, 4.018016, 4.000000, -3.000000, 30.000000, 300.000000, ACC
21.000000, 8.297518, 8.115481, 3.938199, 4.000000, -3.000000, 30.000000, 300.000000, ACC
22.000000, 9.128757, 8.509301, 3.992884, 4.000000, -3.000000, 30.000000, 300.000000, ACC
23.000000, 9.999652, 8.908589, 4.043033, 4.000000, -3.000000, 30.000000, 300.000000, ACC
24.000000, 10.910726, 9.312892, 3.860486, 4.000000, -3.000000, 30.000000, 300.000000, ACC
25.000000, 11.861318, 9.698941, 4.075632, 4.000000, -3.000000, 30.000000, 300.000000, ACC
26.000000, 12.851590, 10.106504, 3.970331, 4.000000, -3.000000, 30.000000, 300.000000, ACC
27.000000, 13.882092, 10.503537, 4.027873, 4.000000, -3.000000, 30.000000, 300.000000, ACC
28.000000, 14.952585, 10.906325, 3.898618, 4.000000, -3.000000, 30.000000, 300.000000, ACC
29.000000, 16.062711, 11.296186, 4.029043, 4.000000, -3.000000, 30.000000, 300.000000, ACC
30.000000, 17.212474, 11.699091, 3.959643, 4.000000, -3.000000, 30.000000, 300.000000, ACC
31.000000, 18.402182, 12.095055, 3.947678, 4.000000, -3.000000, 30.000000, 300.000000, ACC
32.000000, 19.631426, 12.489823, 4.075609, 4.000000, -3.000000, 30.000000, 300.000000, ACC
33.000000, 20.900786, 12.897384, 4.015692, 4.000000, -3.000000, 30.000000, 300.000000, ACC
34.000000, 22.210603, 13.298953, 4.106148, 4.000000, -3.000000, 30.000000, 300.000000, ACC
35.000000, 23.561029, 13.709568, 4.072466, 4.000000, -3.000000, 30.000000, 300.000000, ACC
36.000000, 24.952348, 14.116814, 4.028439, 4.000000, -3.000000, 30.000000, 300.000000, ACC
37.000000, 26.384171, 14.519658, 4.171019, 4.000000, -3.000000, 30.000000, 300.000000, ACC
38.000000, 27.856992, 14.936760, 4.073526, 4.000000, -3.000000, 30.000000, 300.000000, ACC
39.000000, 29.371036, 15.344113, 3.975002, 4.000000, -3.000000, 30.000000, 300.000000, ACC
40.000000, 30.925322, 15.741613, 4.113919, 4.000000, -3.000000, 30.000000, 300.000000, ACC
41.000000, 32.520053, 16.153005, 4.013236, 4.000000, -3.000000, 30.000000, 300.000000, ACC
42.000000, 34.155420, 16.554329, 4.094249, 4.000000, -3.000000, 30.000000, 300.000000, ACC
43.000000, 35.831324, 16.963753, 4.105802, 4.000000, -3.000000, 30.000000, 300.000000, ACC
44.000000, 37.548228, 17.374334, 3.922325, 4.000000, -3.000000, 30.000000, 300.000000, ACC
45.000000, 39.305273, 17.766566, 3.966667, 4.000000, -3.000000, 30.000000, 300.000000, ACC
46.000000, 41.101763, 18.163233, 3.991902, 4.000000, -3.000000, 30.000000, 300.000000, ACC
47.000000, 42.938046, 18.562423, 4.033116, 4.000000, -3.000000, 30.000000, 300.000000, ACC
48.000000, 44.814454, 18.965735, 4.032865, 4.000000, -3.000000, 30.000000, 300.000000, ACC
49.000000, 46.731192, 19.369021, 4.109195, 4.000000, -3.000000, 30.000000, 300.000000, ACC
50.000000, 48.688640, 19.779941, 4.206761, 4.000000, -3.000000, 30.000000, 300.000000, ACC
51.000000, 50.687668, 20.200617, 3.936507, 4.000000, -3.000000, 30.000000, 300.000000, ACC
52.000000, 52.727412, 20.594267, 4.020099, 4.000000, -3.000000, 30.000000, 300.000000, ACC
53.000000, 54.806939, 20.996277, 4.217792, 4.000000, -3.000000, 30.000000, 300.000000, ACC
54.000000, 56.927656, 21.418057, 4.115027, 4.000000, -3.000000, 30.000000, 300.000000, ACC
55.000000, 59.090037, 21.829559, 3.946845, 4.000000, -3.000000, 30.000000, 300.000000, ACC
56.000000, 61.292727, 22.224244, 3.999679, 4.000000, -3.000000, 30.000000, 300.000000, ACC
57.000000, 63.535150, 22.624212, 3.929748, 4.000000, -3.000000, 30.000000, 300.000000, ACC
